budgets,revenues
"
Budget:AUD 17,000,000
            (estimated)
","
Gross USA: $2,021,399, 16 December 2016
"
"
Gross USA: $1,547,397
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$26,000,000
            (estimated)
","
Gross USA: $49,875,291
        "
"
Budget:$150,000
            (estimated)
","
Gross USA: $2,882,062, 19 January 2003
"
"
Opening Weekend USA: $3,001,719,
3 February 2008, Wide Release
","
Production Co:
 Pelican Productions LLC (I), Happy Madison Productions, Level 1 Entertainment 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Dolby
| DTS
"
"
Gross USA: $3,091,922, 8 July 2007
","
  Show more on
  IMDbPro »
  "
"
Trivia
    Ajith won his second Filmfare award for this movie.        See more  »
    ",0
"
Opening Weekend USA: $6,429,784,
3 May 1981
","
Production Co:
 Georgetown Productions Inc., Sean S. Cunningham Films 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $28,476,219, 12 August 2007
"
"
Opening Weekend USA: $66,244,
27 March 2011, Limited Release
","
Production Co:
 The Weinstein Company, Pathé, Eran Riklis Productions 
See more »
      
"
"
Cumulative Worldwide Gross: $46,138,104
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$18,000,000
            (estimated)
","
Gross USA: $31,042,035
        "
"
Cumulative Worldwide Gross: $20,000,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $2,603,726,
16 August 1998, Wide Release
","
Production Co:
 Keystone Pictures, Dimension Films, Alliance Atlantis Communications 
See more »
      
"
"
Opening Weekend: INR 467,700,000
            (India),
20 December 2015
","
Gross USA: $6,557,047, 7 February 2016
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $6,820, 28 May 2012
"
"
Gross USA: $643,129, 31 December 1996
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $7,872,297,
22 July 1984, Wide Release
","
Production Co:
 Cinema Group Ventures, Paramount Pictures 
See more »
      
"
"
Budget:£9,800,000
            (estimated)
","
Opening Weekend USA: $122,014,
1 October 2006, Limited Release
"
"
Gross USA: $60,328,558
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $124,728,738
        ","
Production Co:
 Columbia Pictures, Warner Bros., Waverly Films 
See more »
      
"
"
Budget:$14,000,000
            (estimated)
","
Gross USA: $20,246,959, 13 June 2010
"
"
Budget:$12,500,000
            (estimated)
","
Gross USA: $1,089,445, 13 June 2010
"
"
Opening Weekend USA: $412,095,
25 July 2014, Limited Release
","
Production Co:
 Gravier Productions, Dippermouth, Perdido Productions 
See more »
      
"
"
Budget:$10,500,000
            (estimated)
","
Gross USA: $10,576,669
        "
"
Opening Weekend USA: $22,525,855,
19 July 1998, Wide Release
","
Cumulative Worldwide Gross: $139,600,000
        "
"
Opening Weekend USA: $40,847,
19 September 2014, Limited Release
","
Production Co:
 Egoli Tossell Film, Film Afrika Worldwide, Construction Film 
See more »
      
"
"
Gross USA: $80,818,974
        ","
Production Co:
 Paramount Pictures, Lawrence Gordon Productions, Eddie Murphy Productions 
See more »
      
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $12,594,698, 30 March 2006
"
"
Budget:$60,000,000
            (estimated)
","
Opening Weekend USA: $9,336,957,
25 August 2013, Wide Release
"
"
Budget:$39,000,000
            (estimated)
","
Gross USA: $5,884,190, 8 April 2004
"
"
Production Co:
 LSL Productions 
See more »
      
","
Runtime:
116 min
"
"
Budget:$75,000,000
            (estimated)
","
Gross USA: $128,200,012
        "
"
Gross USA: $1,268,760, 3 May 2015
","
  Show more on
  IMDbPro »
  "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $47,034,272, 19 September 2014
"
"
Opening Weekend: $3,378,892
            (Russia),
28 December 2008, Wide Release
","
  Show more on
  IMDbPro »
  "
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend USA: $1,594,702,
22 December 1985, Wide Release
","
Production Co:
 Twentieth Century Fox, Kings Road Entertainment, SLM Production Group 
See more »
      
"
"
Opening Weekend USA: $49,076,
30 March 2012, Limited Release
","
Production Co:
 No Trace Camping, Caramel Film, Don Carmody Productions 
See more »
      
"
"
Gross USA: $9,200,000
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Permut Presentations, Twentieth Century Fox 
See more »
      
","
Runtime:
111 min
"
"
Opening Weekend USA: $1,636,
4 April 1999, Limited Release
","
Production Co:
 Next Wave Films, Syncopy 
See more »
      
"
"
Opening Weekend: JPY 284,252,550
            (Japan),
25 November 2013, Limited Release
","
Gross USA: $1,506,975
        "
"
Production Co:
 J.A. Entertainment, Rising Sun Films, Viacom18 Motion Pictures 
See more »
      
","
Runtime:
130 min
"
"
Budget:$120,000,000
            (estimated)
","
Gross USA: $244,082,982
        "
"
Production Co:
 Reliance Entertainment 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Opening Weekend USA: $131,153,
12 December 1982, Limited Release
","
Cumulative Worldwide Gross: $127,767,889
        "
"
Budget:$47,000,000
            (estimated)
","
Gross USA: $60,240,295
        "
"
Color:
Color
",0
"
Opening Weekend USA: $3,366,
26 December 1999, Limited Release
","
Production Co:
 Play It Inc., Shanghai'd Films, Touchstone Pictures 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Sound Mix:
Mono
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend USA: $65,444,195,
23 December 2007, Wide Release
","
Cumulative Worldwide Gross: $457,364,600
        "
"
Runtime:
120 min
","
Color:
Color
"
"
Budget:$10,000,000
            (estimated)
","
Gross USA: $53,481, 10 September 2006
"
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $44,134,898, 1 March 2015
"
"
Budget:$60,000,000
            (estimated)
","
Gross USA: $106,128,601
        "
"
Budget:$12,500,000
            (estimated)
","
Gross USA: $21,078,145, 11 May 2003
"
"
Budget:PLN 15,000,000
            (estimated)
","
Gross USA: $118,095, 19 April 2015
"
"
Opening Weekend USA: $783,
8 November 2013, Limited Release
","
Production Co:
 3B Productions, Arte France Cinéma, C.R.R.A.V. Nord Pas de Calais 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Opening Weekend USA: $1,541,
29 May 2009, Limited Release
","
Production Co:
 Ponty Up Pictures, Shadow Shows 
See more »
      
"
"
Opening Weekend USA: $6,906,546,
29 September 1996, Wide Release
","
Production Co:
 Castle Rock Entertainment, Simian Films 
See more »
      
"
"
Budget:$18,000,000
            (estimated)
","
Gross USA: $51,973,029
        "
"
Gross USA: $18,999,718
        ","
  Show more on
  IMDbPro »
  "
"
Production Co:
 Rainbow Productions 
See more »
      
","
Runtime:
126 min
"
"
Budget:$150,000,000
            (estimated)
","
Gross USA: $73,103,784
        "
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $72,313,754
        "
"
Gross USA: $6,659,377
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $10,021,753,
27 July 2008, Wide Release
","
Cumulative Worldwide Gross: $68,369,434, 29 March 2010
"
"
Gross USA: $331,816
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $15,806,
7 July 2017, Limited Release
","
Production Co:
 Lucky Bird Pictures, Delphi Medien, Philipp Filmproduction 
See more »
      
"
"
Gross USA: $204,462
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$23,000,000
            (estimated)
","
Gross USA: $21,973,182, 6 January 2002
"
"
Gross USA: $21,750,000
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $485,734,
29 April 1979, Limited Release
","
Production Co:
 Jack Rollins & Charles H. Joffe Productions 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $27,780,085, 21 March 2017
"
"
Budget:$38,000,000
            (estimated)
","
Gross USA: $16,928,670, 17 November 2011
"
"
Opening Weekend USA: $99,361,
15 June 1986, Limited Release
","
Production Co:
 HandMade Films, Palace Production 
See more »
      
"
"
Budget:$3,000,000
            (estimated)
","
Gross USA: $141,600,000, 31 December 1979
"
"
Gross USA: $218,626
        ","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $19,018,807,
15 July 2001, Wide Release
","
Cumulative Worldwide Gross: $113,579,918, 31 December 2002
"
"
Opening Weekend: $341,649
            (United Kingdom),
11 May 2014, Limited Release
","
Gross USA: $644,906, 5 December 2014
"
"
Opening Weekend USA: $6,018,636,
9 September 2001, Wide Release
","
Cumulative Worldwide Gross: $19,334,145
        "
"
Opening Weekend USA: $18,511,191,
7 June 1992, Wide Release
","
Cumulative Worldwide Gross: $94,700,000
        "
"
Budget:$127,500,000
            (estimated)
","
Gross USA: $137,748,063, 5 January 2001
"
"
Color:
Color
",0
"
Opening Weekend USA: $15,723,480,
26 May 1991
","
Cumulative Worldwide Gross: $152,368,585
        "
"
Opening Weekend USA: $9,932,
14 July 2013, Limited Release
","
Production Co:
 The Collective Studios, Bloody Disgusting, 8383 Productions 
See more »
      
"
"
Budget:$16,000,000
            (estimated)
","
Gross USA: $9,176,787, 23 August 2007
"
"
Budget:$3,500,000
            (estimated)
","
Opening Weekend USA: $262,000,
21 July 1996, Limited Release
"
"
Opening Weekend USA: $311,253,
26 January 1997, Limited Release
","
Production Co:
 Hollywood Pictures 
See more »
      
"
"
Gross USA: $126,533,006
        ","
Production Co:
 TriStar Pictures 
See more »
      
"
"
Budget:$25,000,000
            (estimated)
","
Cumulative Worldwide Gross: $160,000,000
        "
"
Production Co:
 Capitol Films, Hercules Films, Twentieth Century Fox 
See more »
      
","
Sound Mix:
Dolby
| Dolby SR
"
"
Budget:$29,000,000
            (estimated)
","
Gross USA: $27,370,107, 23 October 2016
"
"
Gross USA: $1,187,000
        ","
Production Co:
 Metro-Goldwyn-Mayer (MGM) 
See more »
      
"
"
Budget:$50,000,000
            (estimated)
","
Gross USA: $41,821,986
        "
"
Budget:$2,800,000
            (estimated)
","
Production Co:
 Studio Trite, Caméra One, Goskino 
See more »
      
"
"
Production Co:
 ApolloMedia Distribution, Bavaria Film, F.A.M.E. Film & Music Entertainment AG 
See more »
      
","
Runtime:
94 min
"
"
Budget:$40,000,000
            (estimated)
","
Gross USA: $14,896,798, 23 December 2016
"
"
Budget:$87,000,000
            (estimated)
","
Gross USA: $165,092,268
        "
"
Opening Weekend USA: $245,398,
22 November 2009, Limited Release
","
Production Co:
 Millennium Films, Edward R. Pressman Film, Saturn Films 
See more »
      
"
"
Opening Weekend USA: $198,361,
26 December 1988, Limited Release
","
Production Co:
 All Girl Productions, Silver Screen Partners IV, Touchstone Pictures 
See more »
      
"
"
Production Co:
 Albacore Productions Inc., Columbia Pictures 
See more »
      
","
Runtime:
109 min
"
"
Opening Weekend USA: $74,813,
17 July 2016, Limited Release
","
Production Co:
 D'Souza Media 
See more »
      
"
"
Production Co:
 Focus Films, IAC Film, Isle of Man Film Commission 
See more »
      
","
Sound Mix:
Dolby Digital
"
"
Production Co:
 Nelvana 
See more »
      
","
Sound Mix:
Mono
"
"
Opening Weekend USA: $618,674,
4 July 2004, Limited Release
","
Production Co:
 Fox Searchlight Pictures, Thousand Words, Wildwood Enterprises 
See more »
      
"
"
Opening Weekend USA: $5,438,978,
8 June 1986
","
Production Co:
 De Laurentiis Entertainment Group (DEG), Famous Films (II), International Film Corporation (II) 
See more »
      
"
"
Gross USA: $2,402,067, 16 April 2017
","
Production Co:
 ARTE France, Arte France Cinéma, Doha Film Institute 
See more »
      
"
"
Budget:$5,000,000
            (estimated)
","
Gross USA: $53,921,300
        "
"
Opening Weekend USA: $14,312,850,
2 September 2007, Wide Release
","
Production Co:
 Rogue Pictures, Intrepid Pictures, Spyglass Entertainment 
See more »
      
"
"
Budget:$142,000,000
            (estimated)
","
Opening Weekend USA: $47,072,040,
24 November 2002, Wide Release
"
"
Gross USA: $6,263,883
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$30,000,000
            (estimated)
","
Gross USA: $32,774,834, 9 January 2005
"
"
Budget:$16,000,000
            (estimated)
","
Gross USA: $30,857,814
        "
"
Opening Weekend USA: $9,376,845,
18 June 2000, Wide Release
","
Cumulative Worldwide Gross: $36,755,000, 31 December 2000
"
"
Gross USA: $30,017,647, 31 January 1968
","
  Show more on
  IMDbPro »
  "
"
Budget:$64,000,000
            (estimated)
","
Gross USA: $31,054,924, 21 November 1999
"
"
Opening Weekend USA: $14,623,599,
5 August 2012, Wide Release
","
Cumulative Worldwide Gross: $77,112,176
        "
"
Budget:$90,000,000
            (estimated)
","
Gross USA: $59,484,742
        "
"
Production Co:
 Fandango, Medusa Film 
See more »
      
","
Runtime:
100 min
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $32,463,917, 12 June 2016
"
"
Budget:$130,000,000
            (estimated)
","
Opening Weekend USA: $51,050,101,
10 June 2012, Wide Release
"
"
Budget:$9,500,000
            (estimated)
","
Gross USA: $120,016
        "
"
Production Co:
 Warner Bros., Metro-Goldwyn-Mayer (MGM), Rastar Pictures 
See more »
      
","
Runtime:
111 min
"
"
Opening Weekend USA: $3,210,765,
22 September 2002, Wide Release
","
Production Co:
 Columbia Pictures, Senator Film Produktion, The Canton Company 
See more »
      
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$38,000,000
            (estimated)
","
Gross USA: $28,934,758
        "
"
Budget:$31,500,000
            (estimated)
","
Gross USA: $83,471,511
        "
"
Budget:$1,000,000
            (estimated)
","
Cumulative Worldwide Gross: $50,000,000, 31 January 2000
"
"
Gross USA: $2,240,510
        ","
  Show more on
  IMDbPro »
  "
"
Gross USA: $263,635
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$35,000,000
            (estimated)
","
Gross USA: $6,864,016, 10 April 2016
"
"
Gross USA: $2,086,098, 8 October 2000
","
  Show more on
  IMDbPro »
  "
"
Opening Weekend USA: $36,428,066,
17 August 2003, Wide Release
","
Cumulative Worldwide Gross: $114,908,830
        "
"
Budget:$13,000,000
            (estimated)
","
Gross USA: $18,700,837, 17 July 2016
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $42,478,175, 28 June 2015
"
"
Gross USA: $6,055,661
        ","
Production Co:
 Artisan Entertainment, Aqaba Productions 
See more »
      
"
"
Opening Weekend: £1,314,156
            (United Kingdom),
24 October 2004, Limited Release
","
Gross USA: $13,399,812
        "
"
Opening Weekend USA: $13,350,299,
7 March 2010, Wide Release
","
Production Co:
 Millennium Films, Thunder Road Pictures, Millennium Films 
See more »
      
"
"
Gross USA: $11,834,302
        ","
  Show more on
  IMDbPro »
  "
"
Budget:$68,000,000
            (estimated)
","
Cumulative Worldwide Gross: $77,224,232
        "
"
Gross USA: $10,353,690, 8 August 2010
","
  Show more on
  IMDbPro »
  "
"
Gross USA: $410,800
        ","
Production Co:
 Shree Ashtavinayak Cine Vision 
See more »
      
"
"
Budget:$4,600,000
            (estimated)
","
Production Co:
 Unstoppable Entertainment, Retro-juice Productions, Atlantic Swiss Productions 
See more »
      
"
"
Opening Weekend USA: $7,623,988,
21 March 1982, Wide Release
","
Production Co:
 Melvin Simon Productions, Astral Bellevue Pathé 
See more »
      
"
"
Budget:$20,000,000
            (estimated)
","
Gross USA: $57,330,873, 12 May 2017
"
"
  Show more on
  IMDbPro »
  ","
Color:
Color
"
"
Budget:$2,500,000
            (estimated)
","
Production Co:
 Golan-Globus Productions, NorthSouth, Santa Fe Institute for Regional Education 
See more »
      
"
"
Budget:$61,000,000
            (estimated)
","
Gross USA: $148,809,770
        "
"
Opening Weekend USA: $21,210,131,
3 August 1997, Wide Release
","
Cumulative Worldwide Gross: $87,949,859
        "
"
Production Co:
 Rossen Films, Twentieth Century Fox 
See more »
      
","
Runtime:
134 min
"
"
Opening Weekend USA: $1,550,000,
8 January 2006, Wide Release
","
Cumulative Worldwide Gross: $1,216,111, 18 June 2006
"
"
Opening Weekend USA: $395,162,
30 December 2001, Limited Release
","
Cumulative Worldwide Gross: $87,754,044, 6 June 2002
"
"
Budget:$25,000,000
            (estimated)
","
Gross USA: $121,945,720
        "
